Time(us),AX
0,-1.2
333,-1.2
666,-1.2
999,-1.2
1332,-1.2
1665,-1.2
1998,-0.82
2331,-0.82
2664,-0.82
2997,-0.82
3330,-0.82
3663,-0.82
3996,-0.82
4329,-0.82
4662,-0.82
4995,-0.82
5328,-0.82
5661,-0.82
6327,-0.82
6660,-0.82
6993,-0.82
7326,-1.11
7659,-1.11
7992,-1.11
8325,-1.11
8658,-1.11
8991,-1.11
9324,-1.11
9657,-1.11
9990,-1.11
10323,-1.11
10656,-1.11
10989,-1.11
11322,-1.11
11655,-1.11
12321,-0.83
12654,-0.83
12987,-0.83
13320,-0.83
13653,-0.83
13986,-0.83
14319,-0.83
14652,-0.83
14985,-0.83
15318,-0.83
15651,-0.83
15984,-0.83
16317,-0.83
16650,-0.83
16983,-1.12
17316,-1.12
17649,-1.12
17982,-1.12
18648,-1.12
18981,-1.12
19314,-1.12
19647,-1.12
19980,-1.12
20313,-1.12
20646,-1.12
20979,-1.12
21312,-1.12
21645,-1.12
21978,-1.16
22311,-1.16
22644,-1.16
22977,-1.16
23310,-1.16
23643,-1.16
23976,-1.16
24642,-1.16
24975,-1.16
25308,-1.16
25641,-1.16
25974,-1.16
26307,-1.16
26640,-1.16
26973,-1.09
27306,-1.09
27639,-1.09
27972,-1.09
28305,-1.09
28638,-1.09
28971,-1.09
29304,-1.09
29637,-1.09
29970,-1.09
30636,-1.09
30969,-1.09
31302,-1.09
31635,-1.09
31968,-1.13
32301,-1.13
32634,-1.13
32967,-1.13
33300,-1.13
33633,-1.13
33966,-1.13
34299,-1.13
34632,-1.13
34965,-1.13
35298,-1.13
35631,-1.13
35964,-1.13
36630,-1.13
36963,-1.13
37296,-1.05
37629,-1.05
37962,-1.05
38295,-1.05
38628,-1.05
38961,-1.05
39294,-1.05
39627,-1.05
39960,-1.05
40293,-1.05
40626,-1.05
40959,-1.05
41292,-1.05
41625,-1.05
41958,-1.26
42291,-1.26
42957,-1.26
43290,-1.26
43623,-1.26
43956,-1.26
44289,-1.26
